block_number,from_address,to_address,value,transaction_hash,block_date,transaction_idx,created_at
13148020,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x6c8c7539bf6a61c249c520c837ed0e19f91344dc,3616879.11764127,0x0cea2daac217e2960600641664eb321a7c9cc291b6ddc471122e0f3cfb7f69be,2021-09-02T18:59:30.000000,1,2023-04-19T11:10:19.150792
13148020,0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,11457663.15230496,0xe18fc8c20f70b9e5fa7b5753bd962176c2b568a68a89cdea95566d65490d519e,2021-09-02T18:59:30.000000,2,2023-04-19T11:10:19.207507
13148020,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x824c4558ce2d5da2f959affd1fed5850d5bd57c8,84084.93755661,0xc2416ce1fe7e1fb840b978755dd7050247def425183b21579fc5c0271bf88de9,2021-09-02T18:59:30.000000,14,2023-04-19T11:10:19.271554
13148020,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x1a8a7ae2508a2623789772e6eeaa084ac406d85f,168119.56580167,0xb0568da8ac715f4a9ffcfa65345729d66215925b27a148914e85563d507f56fa,2021-09-02T18:59:30.000000,89,2023-04-19T11:10:19.338275
13148020,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x4628ceaad832c11cc0616daeec625ceba9ae8868,280050.28720157,0x88b34b8138c30d438f09b59cee3ecd3b9d809ebbe83156cd45ab3b8d8d9657f7,2021-09-02T18:59:30.000000,119,2023-04-19T11:10:19.406231
13148020,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x7e4fda3baac2b8a944e0e1533765ce1757ba66bb,391757.7976928,0x9eb5d82dd3e3ea637fc0b196ec78fee14adcd27ff07fc5be465052cc6cb07ae8,2021-09-02T18:59:30.000000,141,2023-04-19T11:10:19.465740
13148020,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x13f2152f59fa28c583f56f2d9d0659d2e3f993d3,279603.85013581,0x51a5ac29f637eaae636a2fb168f9b739cf7246cf24ac47d9bcbe0bdeae9f11c4,2021-09-02T18:59:30.000000,171,2023-04-19T11:10:19.527939
13148021,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0xcf60c0a1a4da67c7b378d4089ef4428cfadadc0e,279418.14987071,0x51399d9334cd755b62e372555016eecb04ab2747ee8c90c58bd5a70cca5217f0,2021-09-02T18:59:55.000000,8,2023-04-19T11:10:19.596004
13148021,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0xcf60c0a1a4da67c7b378d4089ef4428cfadadc0e,279232.63463733,0xf12fb074619ad32c7fd6a00d89c44efdb4e02f502bc3bfab7ac9fa2b8690a0a0,2021-09-02T18:59:55.000000,9,2023-04-19T11:10:19.649791
13148021,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0xcf60c0a1a4da67c7b378d4089ef4428cfadadc0e,279047.30418986,0x4dec004d3c2e5a804f28d9d5c0c207e4082348f1b5356c9a2735e4831cd848e2,2021-09-02T18:59:55.000000,10,2023-04-19T11:10:19.711954
